SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NIITTECH, EQ, 28-Mar-2019, 1315.65, 1320.00, 1339.20, 1320.00, 1330.00, 1333.95, 1330.75, 751348, 9998.57, 27341, 246674, 32.83
NILAINFRA, EQ, 28-Mar-2019, 8.10, 8.00, 8.30, 7.95, 8.15, 8.20, 8.14, 260921, 21.23, 549, 172657, 66.17
NILASPACES, EQ, 28-Mar-2019, 2.40, 2.35, 2.40, 2.30, 2.40, 2.40, 2.38, 115813, 2.75, 120, 76258, 65.85
NILKAMAL, EQ, 28-Mar-2019, 1428.85, 1438.95, 1438.95, 1409.15, 1420.00, 1420.20, 1421.77, 7449, 105.91, 1043, 4789, 64.29
NIPPOBATRY, EQ, 28-Mar-2019, 710.95, 709.90, 721.00, 706.80, 714.90, 712.20, 714.34, 397, 2.84, 45, 323, 81.36
NITCO, EQ, 28-Mar-2019, 37.85, 38.10, 40.15, 38.10, 39.70, 38.95, 39.61, 235719, 93.37, 1481, 118778, 50.39
NITESHEST, EQ, 28-Mar-2019, 6.05, 6.00, 6.25, 6.00, 6.05, 6.05, 6.08, 56853, 3.46, 110, 35396, 62.26
NITINFIRE, EQ, 28-Mar-2019, 1.35, 1.30, 1.40, 1.30, 1.30, 1.30, 1.34, 155144, 2.08, 80, 90647, 58.43
NITINSPIN, EQ, 28-Mar-2019, 90.15, 90.15, 91.00, 88.65, 89.00, 89.25, 89.71, 21383, 19.18, 406, 12760, 59.67
NKIND, EQ, 28-Mar-2019, 39.85, 39.85, 41.30, 39.05, 40.75, 39.95, 39.78, 3538, 1.41, 37, 904, 25.55
NLCINDIA, EQ, 28-Mar-2019, 69.40, 69.50, 70.10, 67.65, 69.60, 69.75, 68.78, 1471150, 1011.86, 19878, 846709, 57.55
NMDC, EQ, 28-Mar-2019, 101.65, 101.50, 104.00, 100.60, 102.00, 101.15, 101.91, 7390535, 7531.63, 23564, 4131515, 55.90
NOCIL, EQ, 28-Mar-2019, 145.45, 146.20, 149.30, 143.85, 148.00, 146.70, 147.36, 545430, 803.76, 5413, 187850, 34.44
NOIDATOLL, EQ, 28-Mar-2019, 5.65, 5.95, 5.95, 5.45, 5.60, 5.65, 5.57, 143953, 8.02, 203, 96418, 66.98
NRAIL, EQ, 28-Mar-2019, 317.00, 322.00, 324.75, 312.00, 315.00, 318.30, 320.20, 10427, 33.39, 426, 5266, 50.50
NRBBEARING, EQ, 28-Mar-2019, 189.95, 192.00, 192.60, 190.30, 192.40, 191.60, 191.59, 31810, 60.94, 738, 21021, 66.08
