,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
658,HINDUNILVR,EQ,1738.0,1750.8,1726.15,1747.35,1747.05,1734.2,772993,1344120329.25,26-APR-2019,37521,INE030A01027
659,HINDZINC,EQ,274.7,274.7,270.0,270.45,271.0,272.95,521302,141788941.15,26-APR-2019,5143,INE267A01025
660,HIRECT,EQ,127.9,130.25,125.05,125.9,125.05,127.9,3866,490572.95,26-APR-2019,77,INE835D01023
661,HISARMETAL,EQ,43.7,44.9,43.7,43.9,43.9,44.7,1218,53481.4,26-APR-2019,16,INE598C01011
662,HITECH,EQ,266.0,270.0,251.7,267.55,267.0,262.65,1480,391065.35,26-APR-2019,83,INE106T01017
663,HITECHCORP,EQ,103.0,103.9,101.1,101.65,103.9,102.25,1142,117412.45,26-APR-2019,14,INE120D01012
664,HITECHGEAR,EQ,287.0,293.9,287.0,291.85,291.95,287.65,1247,362522.2,26-APR-2019,167,INE127B01011
665,HMT,BZ,18.1,19.1,18.1,18.8,18.3,18.5,606,11193.9,26-APR-2019,7,INE262A01018
666,HMVL,EQ,110.1,118.7,106.7,116.45,116.05,111.1,33922,3843087.45,26-APR-2019,1242,INE871K01015
667,HNGSNGBEES,EQ,3240.0,3240.0,3229.89,3230.0,3230.0,3232.0,6,19419.89,26-APR-2019,5,INF732E01227
668,HONAUT,EQ,23600.2,24100.05,23600.2,24038.05,24080.0,23781.05,368,8803958.95,26-APR-2019,209,INE671A01010
669,HONDAPOWER,EQ,1067.05,1067.05,1049.7,1055.35,1060.0,1058.6,3041,3200418.2,26-APR-2019,258,INE634A01018
670,HOTELEELA,EQ,10.8,10.9,10.6,10.65,10.65,10.8,148721,1591170.85,26-APR-2019,320,INE102A01024
671,HOTELRUGBY,BE,1.4,1.4,1.4,1.4,1.4,1.45,8400,11760.0,26-APR-2019,5,INE275F01019
672,HOVS,EQ,149.0,149.35,143.25,143.85,143.6,148.4,16625,2424324.8,26-APR-2019,492,INE596H01014
673,HPL,EQ,62.7,63.0,60.3,60.75,60.7,61.2,50380,3087500.45,26-APR-2019,542,INE495S01016
674,HSCL,EQ,113.4,113.8,112.1,113.05,113.1,113.55,85925,9693335.5,26-APR-2019,1487,INE019C01026
675,HSIL,EQ,264.0,275.45,262.0,269.35,275.45,262.45,181011,48426143.6,26-APR-2019,4899,INE415A01038
676,HTMEDIA,EQ,39.9,40.4,39.3,39.65,40.3,39.85,43644,1736573.15,26-APR-2019,407,INE501G01024
677,HUBTOWN,EQ,31.7,33.1,31.7,32.3,32.7,31.95,29937,978203.95,26-APR-2019,271,INE703H01016
678,HUDCO,EQ,42.75,42.75,42.2,42.35,42.3,42.65,452495,19190357.45,26-APR-2019,2918,INE031A01017
679,HUDCO,N2,1142.0,1164.75,1142.0,1153.29,1164.75,1135.58,2080,2395627.3,26-APR-2019,29,INE031A07840
680,HUDCO,N3,1061.0,1067.99,1061.0,1067.99,1067.99,1065.58,170,180859.3,26-APR-2019,4,INE031A07832
681,HUDCO,N7,1052.65,1055.65,1052.65,1055.65,1055.65,1052.0,124,130714.6,26-APR-2019,2,INE031A07881
682,HUDCO,N8,1120.05,1120.05,1120.02,1120.02,1120.02,1122.0,221,247525.17,26-APR-2019,3,INE031A07AO5
683,HUDCO,ND,1218.0,1218.0,1218.0,1218.0,1218.0,1217.49,250,304500.0,26-APR-2019,8,INE031A07949
684,HUDCO,NE,1313.0,1313.0,1309.0,1312.8,1309.0,1313.0,521,682484.5,26-APR-2019,9,INE031A07AB2
685,IBREALEST,EQ,124.0,127.9,119.0,125.45,125.6,123.35,21415031,2658187541.35,26-APR-2019,137110,INE069I01010
686,IBUCCREDIT,N6,994.25,995.0,994.25,994.87,994.8,981.32,450,447692.5,26-APR-2019,4,INE244L07101
687,IBUCCREDIT,ND,990.35,992.45,990.35,992.45,992.45,991.2,175,173468.75,26-APR-2019,7,INE244L07184
688,IBULHSGFIN,EQ,740.0,752.15,728.5,738.45,736.95,733.3,5255810,3876568465.5,26-APR-2019,97827,INE148I01020
689,IBULHSGFIN,,1050.0,1050.0,1050.0,1050.0,1050.0,960.0,1,1050.0,26-APR-2019,1,INE148I07GL3
690,IBULISL,EQ,326.85,331.1,312.3,315.1,314.0,325.45,72570,23189396.45,26-APR-2019,1582,INE126M01010
691,IBVENTURES,E3,188.2,196.0,188.0,188.0,188.0,188.2,30171,5753720.85,26-APR-2019,87,IN9274G01034
692,IBVENTURES,EQ,323.1,326.5,316.35,320.05,319.0,319.9,1471194,472089498.85,26-APR-2019,23650,INE274G01010
693,ICFL,N1,980.05,980.05,980.05,980.05,980.05,990.0,20,19601.0,26-APR-2019,3,INE614X07027
694,ICFL,N2,980.0,990.0,973.12,974.81,973.12,980.0,385,377566.8,26-APR-2019,15,INE614X07035
695,ICFL,N3,990.0,990.0,985.0,985.0,985.0,990.0,103,101542.0,26-APR-2019,5,INE614X07043
696,ICFL,N4,990.01,991.0,990.0,991.0,991.0,990.01,20,19810.01,26-APR-2019,5,INE614X07050
697,ICFL,N5,950.0,950.0,950.0,950.0,950.0,1000.0,200,190000.0,26-APR-2019,2,INE614X07068
698,ICFL,N6,985.1,1019.99,985.1,1000.31,1000.31,1020.0,46,46039.25,26-APR-2019,14,INE614X07076
699,ICICI500,EQ,158.0,159.89,154.01,154.94,155.09,155.8,36,5590.76,26-APR-2019,15,INF109KC1CZ3
700,ICICIB22,EQ,37.01,37.64,32.1,37.45,37.41,37.23,360244,13503898.5,26-APR-2019,4478,INF109KB15Y7
701,ICICIBANK,EQ,400.0,408.0,394.25,407.2,407.2,395.4,14286163,5747563971.8,26-APR-2019,132349,INE090A01021
702,ICICIGI,EQ,1066.2,1095.0,1066.2,1089.15,1089.0,1075.9,575343,625719959.95,26-APR-2019,21821,INE765G01017
703,ICICIGOLD,EQ,29.0,29.0,28.7,28.95,28.95,28.75,3464,100046.8,26-APR-2019,80,INF109KC1NT3
704,ICICILIQ,EQ,1000.0,1000.0,999.99,999.99,1000.0,999.99,95752,95751695.98,26-APR-2019,206,INF109KC1KT9
705,ICICILOVOL,EQ,91.25,91.28,91.22,91.22,91.22,91.22,6611,603253.72,26-APR-2019,4,INF109KB10T8
706,ICICIMCAP,EQ,69.3,69.3,66.25,66.36,66.37,66.88,103293,6871368.48,26-APR-2019,91,INF109KB1XT3
707,ICICINF100,EQ,123.21,125.0,123.21,124.97,124.97,123.17,41,5082.28,26-APR-2019,6,INF109KA1962
708,ICICINIFTY,EQ,122.63,122.63,121.17,122.25,122.26,121.98,46001,5612809.84,26-APR-2019,2271,INF109K012R6
709,ICICINV20,EQ,59.95,59.95,58.33,58.68,58.68,58.45,4898,286867.36,26-APR-2019,48,INF109KB1WY5
710,ICICINXT50,EQ,29.0,29.12,28.0,28.03,28.03,28.18,22758,639427.11,26-APR-2019,114,INF109KC1NS5
711,ICICIPRULI,EQ,368.4,371.35,363.5,369.05,369.0,367.7,1237193,455657276.1,26-APR-2019,15402,INE726G01019
712,ICICISENSX,EQ,410.9,410.9,410.9,410.9,410.9,414.6,120,49308.0,26-APR-2019,1,INF346A01034
713,ICIL,EQ,43.9,43.9,41.15,42.05,42.05,43.95,184963,7858449.3,26-APR-2019,1050,INE483B01026
714,ICRA,EQ,3138.85,3145.0,3114.6,3138.8,3145.0,3143.3,31529,98528646.6,26-APR-2019,183,INE725G01011
715,ICSA,BE,1.1,1.1,1.1,1.1,1.1,1.15,500,550.0,26-APR-2019,1,INE306B01029
716,IDBI,EQ,44.05,44.4,42.35,42.85,42.7,43.8,7717077,331021127.7,26-APR-2019,11047,INE008A01015
717,IDBIGOLD,EQ,2968.95,2968.95,2941.0,2941.05,2941.05,2948.0,155,457171.7,26-APR-2019,39,INF397L01554
718,IDEA,EQ,16.75,16.85,16.05,16.25,16.1,16.85,35364872,582444076.9,26-APR-2019,24516,INE669E01016
719,IDFC,EQ,42.75,43.25,41.3,41.6,41.45,43.25,5358399,225748575.4,26-APR-2019,11995,INE043D01016
720,IDFCFIRSTB,EQ,53.25,53.4,51.6,51.95,51.7,52.75,10783521,563755529.15,26-APR-2019,18915,INE092T01019
721,IDFCFIRSTB,N1,5000.16,5017.0,5000.16,5016.81,5017.0,5049.0,10,50117.98,26-APR-2019,4,INE092T08CC6
722,IDFCFIRSTB,N2,9300.0,9300.0,9300.0,9300.0,9300.0,9297.01,21,195300.0,26-APR-2019,4,INE092T08CD4
723,IDFCFIRSTB,N3,4921.0,4925.0,4921.0,4925.0,4925.0,4925.0,9,44309.0,26-APR-2019,2,INE092T08CE2
724,IDFCFIRSTB,N5,4861.26,4870.5,4861.26,4865.88,4870.5,4899.0,8,38927.04,26-APR-2019,2,INE092T08CG7
725,IDFCFIRSTB,N6,9000.06,9040.0,9000.06,9040.0,9040.0,9040.0,20,180480.24,26-APR-2019,6,INE092T08CH5
726,IDFCFIRSTB,,9130.0,9130.0,9110.0,9130.0,9130.0,9120.0,10,91220.0,26-APR-2019,4,INE092T08CL7
727,IDFCFIRSTB,NC,8712.05,8712.06,8712.05,8712.06,8712.06,8710.09,28,243937.6,26-APR-2019,6,INE092T08CN3
728,IDFCFIRSTB,NE,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,4,34000.0,26-APR-2019,1,INE092T08CP8
729,IDFNIFTYET,EQ,116.2,119.25,116.2,119.25,119.25,117.2,270,31415.35,26-APR-2019,5,INF194KA1U07
730,IEX,EQ,158.05,161.35,158.05,159.65,159.1,158.1,106748,17019440.75,26-APR-2019,2191,INE022Q01020
731,IFBAGRO,EQ,453.05,458.35,453.05,455.5,455.0,456.7,509,232224.3,26-APR-2019,80,INE076C01018
732,IFBIND,EQ,858.6,894.5,858.6,885.55,885.5,865.45,11272,9920593.55,26-APR-2019,944,INE559A01017
